,Цена,Диагональ экрана,Объем накопителя SSD,Объем оперативной памяти,Количество ядер процессора,Комплектация,Емкость аккумулятора,Вес,Операционная система
Ноутбук HP 15-dy2046ms (4W2K0UA) серебристый,37 990 ₽,15.6,128 Гб,8,4,"Упаковка, ноутбук, ЗУ",,1.6 кг,Windows 11 Home (S-Mode)
Inbook X2-11th XL23/14/Core-i3/8GB/256GB,35 034 ₽,14,256 Гб,8 ГБ,2,,50 Втч,1.24 кг,Windows
"Ноутбук HP 250 G8 Silver 15.6"" i5-1135G7/8Gb/256Gb SSD/DOS",75 260 ₽,15.6,256,8 Гб,4,"Ноутбук, блок питания",,1.74 кг,Без системы
"Ноутбук Chuwi CoreBook X 14"" IPS 16/512 Gb",36 490 ₽,"14""",512 Гб,16 ГБ,2,,4000 mAh,,Windows
"Ноутбук IdeaPad 1 15,6"" FHD IPS/R3-3250U 8/256ГБ SSD/UMA",45 441 ₽,15.6,256 Гб,8,2,ноутбук; документация; зарядное устройство,42 вт*ч,1.65 кг,Без системы
Ноутбук Asus X515JA-BQ4066 [90NB0SR3-M02R10],37 179 ₽,"15,6 ''",512 GB,8,,,,,noOS
"Ноутбук AZ-1523 15.6""/4x3.0GHz/16Gb/1Tb",45 505 ₽,"15.6""",1024 Гб,16,4,Ноутбук - 1шт; блок питания - 1шт; Гарантийный талон - 1шт.,5000 mAh,1.9 кг,Windows
"Ноутбук HP Victus 16-d1039ci 16.1""/16 GB [6K316EA]",109 477 ₽,"16.1""",1 Тб,16,14,,,,noOS
"Ноутбук HP 250 G8 i5-1135G7/8GB/256GBSSD/15.6""FHDAG/Win11Pro",87 750 ₽,15.6,256,8 ГБ,4,"Ноутбук, документация, блок питания",,1.74 кг,Windows Pro
Ноутбук HP EliteBook 640 G9 i5-1235U/16/256/14.0(6C0Y9UT),94 900 ₽,14,256,16 ГБ,10,"Ноутбук, блок питания, документация",,1.37 кг,Windows Pro
"Ноутбук игровой ASUS Gaming A15 15.6"" i5/512SSD/RTX3050/W11",124 010 ₽,15.6,512,16 ГБ,6,"Ноутбук, зарядное устройство, документация",,2.3 кг,Windows Home
"Ноутбук AZ-1402 14"" 2x2.0Ghz/8Gb/512Gb",24 605 ₽,"14""",512 гб,8 ГБ,2,,4000 mAh,1.7 кг,Windows 10 Pro
Ноутбук HP 15 256 SSD / Win10 (2Y4E8EA),53 788 ₽,15.6,256 Гб,4 ГБ,2,"Ноутбук, документация, кабель питания",,1.75 кг,Windows 10 Home
MacBook Pro 13 M2/8 ГБ/512 Гб/US (2022),151 990 ₽,"13.3""",512 Гб,8 ГБ,8,"MacBook Pro, адаптер питания USB-C, USB-C charge cable (2M)",,1.4 кг,macOS
Ноутбук Acer Extensa 15 EX215-52-37LC NX.EG8ER.016,47 008 ₽,"15.6""",512 гб,12 гб,2,Ноутбук; блок питания; документация,,1.9 кг,DOS
Ноутбук Lenovo V15 IGL 15 HD TN/Intel Celeron N4020,24 900 ₽,15.6,256 Гб,4,2,"Ноутбук, зарядное устройство, сетевой адаптер",0,1.6 кг,Windows Pro
"Ноутбук Lenovo ThinkPad T14 G2 14"" FHD i5/16Gb/512SSD/W11H",191 970 ₽,14,512,16 ГБ,4,"Ноутбук, документация, блок питания",,1.53 кг,Windows Home
"Игровой ноутбук 17,3"" intel core i7 12700H, RTX 3070Ti 8gb",169 990 ₽,17.3,512,16 ГБ,14,"Ноутбук, зарядное устройство",,2.82 кг,Без ОС
"Ноутбук Acer Aspire 3 i5-1135G716GB/1TB SSD/15.6""FHD IPS AG",62 500 ₽,15.6,1024,16 ГБ,4,"Ноутбук, документация, блок питания",,1.9 кг,Без ОС
"Ноутбук Lenovo V15-ADA 15.6"" FHD Ryzen5/8Gb/256SSD/W10Pro",81 290 ₽,15.6,256,8 ГБ,4,"Ноутбук, документация, блок питания",,1.85 кг,Windows Pro
"Ноутбук Rombica MyBook Eclipse, 15.6"" 8ГБ, 256ГБ SSD, серый",41 990 ₽,15.6,256 Гб,8 ГБ,4,"Ноутбук - 1 шт.,; Зарядное устройство - 1 шт.,; Инструкция пользователя - 1 шт.,; Гарантийный талон - 1 шт",4825 мАч,1.86 кг,отсутствует
"15.6"" Ноутбук Intel Core i5-1135G7 8ГБ SSD 256ГБ FHD",43 500 ₽,15.6,256 Гб,8,4,"ноутбук, документация, адаптер питания",,1.7 кг,DOS
Ноутбук lenovo L340-15API (Athlon 300U,44 000 ₽,15.6'',128 Гб,8 ГБ,2 ядра,,36 Вт*ч,2.2 кг,Без ОС
Ноутбук Acer Aspire 3 A315-56/i3/8Gb/512Gb (NX.HS5ER.02E),34 275 ₽,"15.6""",512 Гб,8,2,,,,noOS
"Ноутбук RedmiBook Pro 15"" AMD Ryzen 5",117 482 ₽,"15""",512 Гб,16,6,"зарядное устройство/провод питания, переходник на европейскую розетку, ноутбук",70 Вт⋅ч,,Windows 11 Home
"Ноутбук Machenike MACHCREATOR-14 14""",88 238 ₽,"14""",512 Гб,16 ГБ,4,"ноутбук, зарядное устройство, инструкция, коробка",3420 мАч,1.4 кг,DOS
Ноутбук HP Laptop 15 HD TN/Intel Celeron N4120,27 300 ₽,15.6,Отсутствует,4,4,"Ноутбук, зарядное устройство, сетевой адаптер",0,1.7 кг,Windows Pro
Ноутбук Acer Predator Helios PH317-56 (NH.QGVER.001),107 185 ₽,"17.3""",512 Гб,16,12,,,,Windows 11 Home
Ноутбук Asus ROG Strix G533ZS-LN050X [90NR0B62-M002D0],220 780 ₽,"15.6""",1 Тб,16,14,,,,noOS
Ноутбук Matebook D14 53013PLU,42 279 ₽,14,256 Гб,8 ГБ,2,HUAWEI MateBook D 14; адаптер питания HUAWEI USB-C переменного тока; кабель USB-C; Краткое руководство пользователя,,,Windows 11
Ноутбук Hiper DZEN YB97KDOK,52 975 ₽,"15,6",256 Гб,8 ГБ,2,ноутбук; зарядное устройство; документация,5700 мА*ч,1.7 кг,Без ОС
Apple MacBook Air 13/M2/8/512 (Midnight),126 392 ₽,"13.6""",512ГБ,8ГБ,8,Macbook; документация; зарядное устройство; кабель,,,macOS
"Ноутбук VICTUS 16-e0077ur, 16.1"" 4E1K9EA RTX 3060 РОСТЕСТ",112 059 ₽,"16,1",512 Гб,8,6,"документация, адаптер питания",70 Wh,2.48 кг,Windows 10
Ноутбук Digma Pro Fortis 8GB/SSD512GB/W11Pro (DN15P3-8DXW01),43 000 ₽,15.6,512,8 ГБ,2,"Ноутбук, блок питания, документация",,1.87 кг,Windows Pro
Ноутбук Lenovo IdeaPad 3 i5 1235U/8ГБ/512SSD/15.6/DOS,57 593 ₽,"15.6""",512 Гб,8,10,,,1.6 кг,DOS; не установлено; noOS
Ноутбук Vivobook Go E410MABV1516 (90NB0Q15M40350),29 990 ₽,"14""",256 Гб,4 Гб,4,ноутбук; блок питания; инструкция,42 Втч,1.3 кг,отсутствует
"Ноутбук AZ-1406 14""/2х1.1GHz/6Gb/256Gb",14 630 ₽,"14""",256 Гб,6 ГБ,2 ядра,"ноутбук, блок питания",3500 mAh,1.7 кг,Windows 10 Pro
Ноутбук Lenovo IP 3 14ADA05,38 790 ₽,14,512 Гб,8,4,"Ноутбук, документация, адаптер питания с кабелем, диск с ПО (опция)",45 Вт*час,1.6 кг,Windows 11 Home
"15.6"" Notebook Intel Celeron N5095 2.0 GHz, 16GB, SSD 512Gb",31 764 ₽,15.6,512 Гб,16 ГБ,4,,,,
"Ноутбук Huawei MateBookB3-510 15.6""i3-10110U/8/256(53012JEG)",47 500 ₽,15.6,256,8 ГБ,2,"ноутбук, блок питания, документация",,1.53 кг,Windows Pro
Inbook Y1 PLUS 10-th XL28/15/Core-i5/8GB/512GB,35 992 ₽,"15,6",512 Гб,8 ГБ,,"Зарядка; USB кабель - 1,8 м.",4330mAh,1.76 кг,Windows 11 Home
"Ноутбук Redmibook Pro 15"" 2022 i5-12450H Intel UHD 16G/512G",104 790 ₽,15.6,512 гб,16 гб,8-ядерный,,,1.79 кг,Windows 10 Home
Ноутбук Omen by HP 16-c0055ur (4Z2S2EA),125 994 ₽,"16.1""",1 Тб,16,8,,,,noOS
Ноутбук X515JA-BQ2587 Transparent Silver (90NB0SR2-M007J0),73 890 ₽,"15.6""",512 Гб,8 ГБ,4,ноутбук; блок питания; инструкция,37 Втч,1.8 кг,отсутствует
Ноутбук Swift 3 SF316-51-71DT (NX.ABDER.009),92 990 ₽,"16.1""",512 Гб,16,4,Блок питания; инструкция,56 Втч,1.7 кг,Без системы
"Ноутбук Pro Fortis M i3 10110U/8Gb/SSD512Gb/15.6""/W11ProML64",34 727 ₽,"15.6""",512 Гб,8 ГБ,2,,4250 мА*ч,,Windows
Ноутбук Sarbook Mirax Silver для учебы,54 670 ₽,"15,6",512 Гб,12 ГБ,8,"Ноутбук, документация, шнур и блок питания",5000мА/ч 11.4В,,Windows Home
Ноутбук Lenovo Legion 5 15ITH6H (82JK00B9US),84 590 ₽,"15.6""",512 Гб,8 гб,6,"Ноутбук, адаптер питания, упаковка, документация",,,Windows11 Home
Ноутбук Megabook T1 12GB/256GB,55 505 ₽,"15.6""",256 Гб,12 ГБ,2,ноутбук; адаптер питания; Кабель USB Type-C; документация,70 Вт·ч,1.48 кг,Linux
Ноутбук Aspire 5 A515-45-R3UK (NX.A85ER.016),84 990 ₽,"15.6""",512 Гб,16,8,Блок питания; инструкция,48 Вт/ч,1.8 кг,Windows 11
"Ноутбук MEGABOOK T1/ i5 16/512GB/15.6""/ Linux/Rome Mint",41 990 ₽,15.6,512G,16 ГБ,4,,,,Linux
"Ноутбук HP Rebak 15s-eq2135ur 15.6"" (61S05EA)",50 503 ₽,"15.6""",512 Гб,8,6,,,,Windows 11
Ноутбук IRU Калибр 15Y 1657837 Black,86 890 ₽,"15.6""",256 гб,8 гб,4,ноутбук; зарядное устройство; документация,8000 мАч,1.8 кг,FreeDOS
"Ноутбук Acer Extensa 15 15.6""Ryzen5/256SSD/DOS(NX.EG9ER.02E)",58 820 ₽,15.6,256,8 ГБ,4,"Ноутбук, зарядное устройство, документация",,1.9 кг,Без системы
"Ноутбук Acer Extensa 15 EX215-22-R00X Ryzen 3 3250U/8Gb/SSD256Gb/AMD Radeon/15.6""/TN/FHD (1920x1080)",70 058 ₽,15.6'',256 Гб,8 ГБ,2 ядра,ноутбук; адаптер питания,36 Вт*ч,1.9 кг,Windows 10 Pro
"Ноутбук ACER Extensa 15 - EX215-52-38MH, i3-1005G1, 4/128GB",49 365 ₽,"15,6",128 Гб,4,2,"Ноутбук, адаптер питания, руководство пользователя",,1.9 кг,Windows Home
"Ноутбук Intel Core i5, ядра 4х1 ГГц, RAM 16 ГБ, SSD 512 ГБ",41 990 ₽,15.6,512G,16 ГБ,4,адаптер питания; документация,"3-элементный, 70 Вт·ч",1.48 кг,Linux
"Ноутбук TECNO Megabook T1 i5 16/512GB/15.6""/ Linux",42 990 ₽,15.6,512 гб,16,4,,,,Linux
"Ноутбук AZ-1506 15.6""/4x2.0GHz/8Gb/512Gb",24 510 ₽,15.6'',512 Гб,8 ГБ,4 ядра,,3000 mAh,,Windows 10 Pro
Ноутбук Huawei MateBook B3-520 Core i5 1135G7 8Gb SSD512Gb Intel Iris Xe graphics FHD Windows 10,70 883 ₽,"15.6""",512 Гб,8 ГБ,4 ядра (8 потоков),ноутбук; адаптер питания,42 вт*ч,1.56 кг,Windows 10 Pro
"Ноутбук игровой MSI 17 17,3""i5-11400H/512GbSSD/RTX3050Ti/DOS",107 140 ₽,17.3,512,8 ГБ,6,"Ноутбук, зарядное устройство, документация",,2.6 кг,Без системы
"Ноутбук Acer NH.QGPER.002(i7/15,6/512Гб/16Гб/3060/noOS)",108 292 ₽,"15,6""",512 Гб,16 ГБ,14,,,,noOS
"Ноутбук IRU Калибр 15EC, черный",47 690 ₽,"15.6""",256,8,4-ядерный,"Ноутбук-1шт, инструкция-1шт.,гарантийный талон-1шт.",4250 мАч,,Free DOS
Ноутбук Litebook 15 C151I-I311,31 499 ₽,"15.6; 15.6""",512 Гб,8 ГБ,2,блок питания; кабель питания; документация,4000 мАч; 4000 мА*ч,1.7 кг,Windows
Apple MacBook Air 13/M2/8/512 (Silver),122 994 ₽,"13.6""",512ГБ,8ГБ,8,Macbook; документация; зарядное устройство; кабель,,,macOS
Ноутбук ZenBook 14 W11 8ГБ 512ГБ UX5401EA-KN146W,82 549 ₽,"14.0 """,512 Гб,8 ГБ,4,Ноутбук ASUS ZenBook UX5401EA-KN146W Pine Grey - 1шт.,63 Втч,1.4 кг,Windows 11
Ноутбук F+ FLAPTOP I-Series FLTP-5i3-8256-W,40 233 ₽,"15.6 """,256 гб,8 гб,6,Ноутбук; зарядное устройство; документация,6500 мАч,1.7 кг,Windows 11
"Ноутбук ACER A515-45 R7-5700U 15"" 8/512GB NX.A83EX.00D",49 989 ₽,"15.6 """,512 Гб,8,8,Руководство пользователя - 1 шт; гарантийный талон -1 шт; Ноутбук - 1 шт; Сетевой адаптер - 1шт,,1.9 кг,Без ОС
Apple MacBook Air 13/M2/8/512 (Space Grey),126 392 ₽,"13.6""",512ГБ,8ГБ,8,Macbook; документация; зарядное устройство; кабель,,,macOS
Ноутбук HP 15s-eq2025ur 3B2X3EA,410 000 ₽,15.6'',512 Гб,8 ГБ,4,,3700 мАч,3.1 кг,Windows
Intel Core i5/2.4ГГц/16ГБ/512ГБ,73 590 ₽,14,512 Гб,16 ГБ,4,,,1.37 кг,Windows 11
Ультрабук Acer Aspire 3 A315-58-312A (NX.ADDER.01C),39 675 ₽,"15.6""",256 Гб,8,2,,,,Windows
"Ноутбук Lenovo ThinkPad E15 G2 15.6"" FHD i5/16Gb/512SSD/W11H",115 270 ₽,15.6,512,16 ГБ,4,"Ноутбук, документация, блок питания",,1.7 кг,Windows Home
Ноутбук HP Pavilion x360 14-ek0017ci (6G829EA),56 213 ₽,"14""",512 Гб,16,10,,,,noOS
Ноутбук Hiper WORKBOOK A1568K A1568K10356WI,50 499 ₽,"15.6""",512 гб,16 гб,4,ноутбук; зарядное устройство; документация,3350 мАч,1.5 кг,Windows 11 Home
"Ноутбук Azerty AZ-1509 15.6""/4x2.0GHz/16Gb/512Gb",29 400 ₽,"15.6""",512 Гб,16 ГБ,4,Блок питания - 1 шт; Ноутбук 1 шт,5000 mAh,1.5 кг,Windows 10 Pro
Ноутбук Lenovo Thinkbook 15 G2 ITL (20VE00G7RU),71 045 ₽,15.6,512 GB,8,4,Ноутбук - 1 шт,,2.74 кг,не установлена
"Ноутбук Book Pro 14"" 2022 Intel Core i5",111 602 ₽,"14""",512 Гб,16 ГБ,4,"зарядное устройство/провод питания, переходник на европейскую розетку, ноутбук",56 Вт·ч,,Windows 11
Ноутбук Acer Extensa 15 EX215-52-37WL,49 305 ₽,"15.6""",1 тб,12 гб,2,"Ноутбук, документация, зарядное устройство",36.7 Втхч,1.9 кг,DOS
"Ноутбук AZ-1511 15.6""/4x2.0Ghz/16Gb/512Gb",28 880 ₽,"15.6""",512 Гб,16 ГБ,4,Блок питания - 1 шт; Ноутбук - 1 шт,5000 mAh,1.9 кг,Windows
"Ноутбук IdeaPad 3 15,6 FHD TN/i5-1135G7 8/256ГБ SSD/UMA/DOS",61 974 ₽,15.6,256 Гб,8,4,ноутбук; документация; зарядное устройство,38 Вт-ч,1.65 кг,Без системы
Ноутбук R9PRO Intel 11-th 16 GB 512 GB,36 315 ₽,15.6'',512 Гб,16 ГБ,4 ядра 4 потока,"зарядное устройство -1шт; Ноутбук - 1 шт; Бумажная инструкция -1шт; накладка на клавиатуру; Беспроводная мышь- 1шт, Коврик - 1 шт, Сумка 1-шт",37 Ah,1.4 кг,Windows; Windows 11
"Ноутбук MagicBook X14 i3-10110U/8Gb/256Gb SSD/14""FHD/Win10",56 890 ₽,"14""",256 Гб,8 ГБ,2 ядра,,56 Вт*ч,,Windows 10 Home
"Ноутбук Hiper WORKBOOK N1567RH,цвет серебристый",41 990 ₽,"15.6""",256 Гб,8,4-ядерный,"Ноутбук-1шт., инструкция-1шт.",,,Windows 10
Ноутбук HP 250 G8 Core i3-1005G1/4Gb/SSD256Gb,42 290 ₽,15.6,256 Гб,4 гб,2,,,,windows 10 pro
Inbook X2-11th XL23/14/Core-i7/16GB/512GB,57 669 ₽,14,512 Гб,16,2,,50 Втч,,Windows
Infinix Inbook XL23/14/i5 /8GB/512GB,47 000 ₽,14,512 Гб,8 ГБ,4,,50 Втч,1.22 кг,Windows
"Ноутбук IRU (1894779) 15EC3 15.6""",39 890 ₽,"15.6""",256 Гб,8,2-ядерный,"Ноутбук-1шт., инструкция-1шт.",7200 мА*ч,,Free DOS
"Ноутбук EVE 15 P417 15.6"" Pentium N5030 8Gb SSD256Gb W11",26 011 ₽,"15.6""",256 Гб,8 ГБ,4-ядерный,"Ноутбук-1шт.,документация-1шт.",5000 мАч,1.54 кг,Windows 11 Home
Ноутбук F+ FLAPTOP R-Series FLTP-5R5-8512-W,56 266 ₽,"15.6""",512 гб,8 гб,6,ноутбук; зарядное устройство; документация,,1.7 кг,Windows 11
Ноутбук V15 G2 ALC (82KD00DDCD),43 990 ₽,"15.6""",256 Гб,8 ГБ,4,ноутбук; блок питания; инструкция,38 Втч,1.7 кг,отсутствует
"Ноутбук HP Probook 450 i5-1235U/512SSD/15.6""IPS/DOS(6S7D7EA)",73 900 ₽,15.6,256,8 ГБ,10,"Ноутбук, документация, зарядный блок",,1.74 кг,Без системы
Оригинальный ноутбук для офиса,62 000 ₽,15.6,256 Гб,8,4,,38 Втч,,DOS
"Ноутбук Hasee S8-DA7NS 15.6"" 16G 512G i7-12650H RTX3060 6G",98 090 ₽,"15,6""; IPS; 144 Hz",512 Гб,16 ГБ; DDR 4,,,,,
"Ноутбук HONOR HONOR MagicBook 15 5301ACDG 8/512 GB, серый",56 389 ₽,"15.6""",512 Гб,8,6,Ноутбук - 1шт.; ЗУ - 1шт.; Гарантийный талон - 1шт.; Инструкция - 1шт.,,1.54 кг,Windows
"Ноутбук CHUWI Corebook 14""",36 990 ₽,"14""",512 Гб,8 ГБ,4 ядра 8 потоков,,4000 mAh,,
Ноутбук ASUS X515EA-BQ3270 [15.6/i5 1135G7/SSD256/RAM8GB],68 000 ₽,"15.6""",256 Гб,8,4,Ноутбук; зарядное устройство; аккумулятор; руководство пользователя,,,noOS
Apple MacBook Pro 16/M1 Pro/16/1 (Silver),199 191 ₽,"16.2""",1TБ,16ГБ,10,Macbook; документация; зарядное устройство; кабель,,,macOS
Ноутбук HIPER DZEN X1H1481S,73 488 ₽,"15,6",512 Гб,16 ГБ,4,ноутбук; зарядное устройство; документация,5700 мА*ч,1.7 кг,Windows
Ноутбук Acer Nitro 5 AN515-45 R585SGN,54 093 ₽,"15.6""",512 Гб,8,6,,,,noOS
"Ноутбук AZ-1505 15.6""/4x2.0GHz/12Gb/256Gb",25 460 ₽,"15.6""",256 Гб,12,4,блок питания - 1шт; Ноутбук - 1шт,5000 mAh,1.9 кг,Windows 10 Pro
"Ноутбук 15"" ASUS X515EA-BQ3166W7 Intel Core i5 8ГБ SSD 512ГБ",48 000 ₽,"15.6""",512 Гб,8,4,"ноутбук, документация, адаптер питания",,1.8 кг,Windows Home
Ноутбук Acer Extensa 15 Core i3 1005G1/8Gb/SSD256Gb/15.6''/TN/FHD/Win10/black,33 225 ₽,15.6,256 Гб,8 ГБ,2,Ноутбук - 1 шт,,1.9 кг,Windows 10 Home
Ноутбук Flaptop R Light Grey (FLTP-5R5-8256-w),50 990 ₽,"15.6""",256 Гб,8 ГБ,6,Ноутбук F+; блок питания; аккумулятор; инструкция,55.44 Втч,1.87 кг,Windows
Ноутбук HP 250 G8 (2W8Z6EA),73 421 ₽,15.6,256 Gb,8 GB,2,Ноутбук - 1 шт,,1.74 кг,DOS
Intel Core i5/2.4ГГц/8ГБ/512ГБ,59 790 ₽,14,512 Гб,8 ГБ,4,,6952 мАч / 54 Вт·ч,1.38 кг,Windows 11
